Key,"English, en-US","French, fr","Hindi (India), hi_IN","Romanian (Romania), ro_RO"
label.endAt,"End at","Fin à","पर समाप्त","Se termina la"
label.endDate,"End Date","Date de fin","समाप्ति तिथि","Data de încheiere"
label.endsAt,"Ends at","Finit à","खतम होता है","Se termina la"
label.endsAt,"Ends at","Fini à","खतम होता है","Se termina la"
label.exercisePlanner,"Exercise Planner","Planificateur d'exercices","व्यायाम योजनाकर्ता","Sablon de exercitii"
label.fee,"Fee","Honoraires","फीस","Taxa"
label.free,"Free","Gratuit","मुक्त","Gratuit"
label.groups,"Groups","Groupes","समूहों","Grupuri"
label.guestPass,"Guest pass","Pass invité","अतिथि पास","Invitatie Guest"
label.guestPasses,"Guest Passes","Pass invité","अतिथि पास","Invitatie Guest"
label.gym,"Gym","gym","जिम","Gym"
label.gyms,"Gym","gym","जिम","Gym"
label.hold,"Hold","Tenir","होल्ड","Asteptare"
label.hours,"Hours","Heures","घण्टे","Ore"
label.instructor,"Instructor","Instructeur","अनुदेशक","Instructor"
label.instructors,"Instructors","Instructeurs","अनुदेशकों","Instructori"
label.label,"Label","Étiquette","लेबल","Eticheta"
label.lastLC,"Last LC","Dernier LC","अंतिम एल.सी","Ultimul LC"
label.lastLogin,"Last login","Dernière connexion","आखरी लॉगइन","Ultima logare"
label.lastNS,"Last NS","Dernier NS","अंतिम एन.एस","Ultimul NS"
label.lastUpdate,"Last update","Dernière mise à jour","आखिरी अपडेट","Ultima actualizare"
label.lateCancellation,"Late cancellation","Annulation tardive","देर से रद्दीकरण","Anulare tarzie"
label.latest,"Latest","Le plus récent","नवीनतम","Cel mai recent"
label.lC,"LC","LC","एल.सी","LC"
label.lCPast7Days,"LC Past 7 Days","LC 7 derniers jours","एलसी पिछले 7 दिन","LC Ultimele 7 zile"
label.live,"Live","En direct","लाइव","Live"
label.location,"Location","Emplacement","लोकेशन","Locatie"
label.lost,"Lost","Perdu","खोया","Pierdut"
label.m-PARQ,"M-PARQ","M-PARQ","एम-पार्क","M-PARQ"
label.m-Pic,"M-Pic","M-Pic","एम-पिक","M-Pic"
label.member,"Member","Membre","सदस्य","Membru"
label.memberCard,"Member Card","Carte de membre","सदस्य कार्ड","Card membru"
label.memberID,"Member ID","ID membres","सदस्य आईडी","ID membru"
label.memberOnly,"Member only","Membre seulement","केवल सदस्य","Numai pentru membri"
label.membersOnly,"Members only","Membres uniquement","केवल सदस्यों","Doar pentru membri"
label.message,"Message","Message","संदेश","Mesaje"
label.messages,"Messages","Messages","संदेश","Mesaje"
label.month,"Month","Mois","माह","luna"
label.monthly,"Monthly","Mensuel","मासिक","Lunar"
label.name,"Name","Nom","नाम","Nume"
label.noPIC,"No PIC","Non PIC","कोई तस्वीर नहीं","Nu PIC"
label.noShow,"No Show","Non présentation","कोई शो नहीं","Nu sa prezentat"
label.notChecked,"Not Checked","Non coché","जाँच नहीं की गई है","Neverificat"
label.note,"Note","Remarque","नोट","Nota."
label.nS,"NS","NS","एन.एस","NS"
label.nSPast7Days,"NS Past 7 Days","NS 7 derniers jours","एनएस पिछले 7 दिन","NS Ultimele 7 zile"
label.oldest,"Oldest","Le plus ancien","सबसे पुराना","Ce mai vechi"
label.ongoing,"Ongoing","En cours","चल रहे","In curs"
label.openAt,"Open at","Ouvert à","पर खोलें","Deschis la"
label.openingTimes,"Opening Times","Horaires d'ouverture","बार खोलने","Orar de deschidere"
label.pARQ,"PARQ","PARQ","पार्क","PARQ"
label.pARQNo,"PARQ No","PARQ Non","पार्क नंबर","PARQ nu"
label.pARQYes,"PARQ Yes","PARQ Oui","पार्क हाँ","PARQ da"
label.pdf,"Pdf","PDF","पी.डी.एफ","Pdf"
label.pending,"Pending","En instance","लंबित","In asteptare"
label.personalTrainer,"Personal trainer","Entraîneur personnel","निजी प्रशिक्षक","Antrenor personal"
label.phone,"Phone","Téléphone","फ़ोन","Telefon"
label.phone,"Phone","Téléphone","टेलीफोन","Tepefon"
label.pic,"Pic","Pic","चित्र","Pic"
label.plan,"Plan","Plan","योजना","Plan"
label.price,"Price","Prix","कीमत","Pret"
label.priceHigh,"Price High","Prix élevé","कीमत ऊंची","Pret mare"
label.priceLow,"Price Low","Prix bas","दाम कम","Pret mic"
label.prices,"Prices","Prix","कीमतों","Preturi"
label.print,"Print","Imprimer","प्रिंट","Imprimeaza"
label.product,"Product","Produit","उत्पाद","Produs"
label.quantity,"Quantity","Quantité","क्वांटिटी","Cantitate"
label.rag,"Rag","Rag","चीर","Rag"
label.referAFriend,"Refer a friend","Recommander un ami","मित्र को आमंत्रित करें","recomanda un prieten"
label.referAFriend,"Refer a Friend","Référez un ami","एक दोस्त को संदर्भित करें","Refera un prieten"
label.releaseAt,"Release at","Libérer à","पर रिलीज़ करें","Eliberat la"
label.remote,"Remote","À distance","रिमोट","Remote"
label.renewalFee,"Renewal fee","Frais de renouvellement","नवीकरण शुल्क","Taxa reinoire"
label.rent,"Rent","Louer","किराया","Inchiriaza"
label.reply,"Reply","Répondre","जवाब","Raspuns"
label.resolved,"Resolved","Résolu","हल किया","Rezolvat"
label.restore,"Restore","Restaurer","पुनर्स्थापित","Restaureaza"
label.rolling,"Rolling","Roulant","रोलिंग","Rolling"
label.sessions,"Sessions","Séances","सेशंस","Sesiuni"
label.shop,"Shop","Boutique","दुकान","Magazin"
label.showDescription,"Show Description","Afficher la description","वर्णन दिखाएँ","Arata descrierea"
label.signOff,"Sign off","Se déconnecter","साइन ऑफ़","Delogare"
label.sn,"S/N","S/N","एस/एन","S/N"
label.sort,"Sort","Sorte","सॉर्ट करें","Sorteaza"
label.startAt,"Start at","Commence à","पर शुरू","Incepe la"
label.startsAt,"Starts at","Débute à","पर आरंभ होती है","Incepe la"
label.status,"Status","Statut","स्थिति","Status"
label.subscription,"Subscription","Souscription","सदस्यता","Abonament"
label.subtotal,"Subtotal","Sous-total","सबटोटल","Subtotal"
label.task,"Task","Tâche","टास्क","Task"
label.time,"Time","Temps","समय","Timp"
label.title,"Title","Titre","ख़िताब","Titlu"
label.total,"Total","Total","कुल","Total"
label.trashed,"Trashed","Supprimé","ट्रैश किए","Sters"
label.type,"Type","Taper","प्रकार","Tip"
label.user,"User","Utilisateur","उपयोक्ता","User"
label.weekly,"Weekly","Hebdomadaire","साप्ताहिक","Saptamanal"
label.year,"Year","Année","साल","An"
label.yearly,"Yearly","Annuel","वार्षिक","Anual"
label.yesPIC,"Yes PIC","Oui PIC","हाँ तस्वीर","Da PIC"
lang,"Language","Langue","भाषा","Limba"
lastMessage,"Last message","Dernier message","आखिरी संदेश","Ultimul mesaj"
left,"Left","Gauche","बाएँ","Stanga"
link,"Link","Lien","लिंक","Link"
location,"Location","Emplacement","स्थान","Locatie"
locations.noData,"No locations available","Aucun emplacement disponible","कोई स्थान उपलब्ध नहीं है","Nici o locatie valabila"
login,"Login","Connexion","लॉगिन","Logare"
logout,"Logout","Déconnexion","लॉगआउट","Delogare"
manageAdminClassSchedules,"View and manage your gym class schedules here.","Consultez et gérez vos horaires de cours de gym ici.","यहाँ अपनी जिम क्लास की शेड्यूल देखें और प्रबंधित करें।",
manageClassSchedules,"View and manage your booked gym classes here. Stay organized and stay on track with your fitness routine.","Consultez et gérez vos cours de gym réservés ici. Restez organisé et suivez votre routine de fitness.","यहाँ अपने बुक की गई जिम क्लासेस को देखें और प्रबंधित करें। आपके फिटनेस रूटीन को आयोजित रखें और उस पर ट्रैक पर रहें।",
markAllAttended,"Mark All Attended","Marquer tous comme présents","सभी को उपस्थित चिह्नित करें","Bifează Toate Prezentele"
markAsDefault,"Mark as Default","Définir comme par défaut","डिफ़ॉल्ट रूप में चिह्नित करें","Seteaza ca Implicit."
media,"Media","Média","मीडिया","Fisiere"
mediaSelected,"{count} media selected","{count} médias sélectionnés","{count} मीडिया चयनित हैं","media selectata"
memberInfo,"Member Info","Informations sur le membre","सदस्य जानकारी","Informatii membru"
Members Login,"Members Login","Connexion Membre","सदस्य लॉगिन","Logare membri"
members.activityDesc,"With activity, you can view detailed histories and write notes for member.","Avec l'activité, vous pouvez consulter les historiques détaillés et rédiger des notes pour les membres.","गतिविधि के साथ, आप सदस्य के लिए विस्तृत इतिहास देख सकते हैं और नोट लिख सकते हैं।","Cu activitatea, poti vizualiza istoricul detaliat si să scrii note pentru membru"
members.billingDesc,"This information will be added to your invoice.","Ces informations seront ajoutées à votre facture.","इस जानकारी को आपके चालान में जोड़ा जाएगा।","Această informație va fi adăugată în factura ta"
members.generalDesc,"Member information forms provide key data on member that can be used to keep track of who worked for the company, when, and in what positions.","Les formulaires d'informations sur les membres fournissent des données clés sur les membres qui peuvent être utilisées pour suivre qui a travaillé pour l'entreprise, quand et dans quelles positions.","सदस्य जानकारी फार्म सदस्य के बारे में मुख्य डेटा प्रदान करते हैं, जो कंपनी के लिए कौन काम किया, कब और किन पदों में काम किया जा सकता है को ट्रैक करने के लिए उपयोग किया जा सकता है।","Formularele cu informatii despre membri ofera date cheie despre membri, care pot fi folosite pentru a tine evidenta cine a lucrat pentru companie, când si în ce pozitii"
members.noData,"No members available","Aucun membre disponible","कोई सदस्य उपलब्ध नहीं है","Nici un membru disponibil"
members.securityDesc,"Change password","Changer le mot de passe","पासवर्ड बदलें","Schimba parola"
membership.noData,"No membership available","Aucune adhésion disponible","कोई सदस्यता उपलब्ध नहीं","Nici un abonament disponibil"
membershipNumber,"Membership Number","Numéro d'adhésion","सदस्यता नंबर","Numar Abonament"
menu,"Menu","Menu","मेनू","Meniu"
menus.allClasses,"All Classes","Tous les cours","सभी वर्ग","Toate clasele"
menus.allProducts,"All Products","Tous les produits","सभी प्रोडक्ट","Toate produsele"
menus.allStaff,"All Staff","Tout le personnel","सभी कर्मचारी","Tot staff-ul"
menus.announcements,"Announcements","Annonces","घोषणाएं","Instiintare"
menus.billing,"Billing","Facturation","बिलिंग","Abonemente"
menus.bookClass,"Book a Class","Réserver un cours","कक्षा बुक करें","Rezerva clase"
menus.classes,"Classes","Cours","कक्षाओं","Clase"
menus.classesBooked,"Classes Booked","Cours réservés","बुक की गई कक्षाएँ","Clasa rezervata"
menus.dailyReports,"Daily Reports","Rapports journaliers","दैनिक रिपोर्ट","Raporturi zilnice"
menus.dashboard,"Dashboard","Tableau de bord","डैशबोर्ड","Panou de control"
menus.documents,"Documents","Documents","दस्तावेज़","Documente"
menus.enquiries,"Enquiries","Billets","टिकट","Ticket"
menus.enquiry,"Enquiry","Enquête","जाँच करना","Examineaza"
menus.exercisePlanner,"Exercise Planner","Planificateur d'exercices","व्यायाम योजनाकार","Plan de exercitii"
menus.finance,"Finance","Finance","वित्त","Finante"
menus.groups,"Groups","Groupes","समूह","Grupuri"
menus.guestPasses,"Guest Passes","Passes invités","अतिथि पास","Invitatii Guest"
menus.instructors,"Instructors","Instructeurs","अनुदेशकों","Instructori"
menus.locations,"Locations","Emplacements","स्थानों","Locatii"
menus.members,"Members","Membres","सदस्यों","Membri"
menus.membership,"Membership","Adhésion","सदस्यता","Abonament"
menus.messages,"Messages","Messages","संदेश","Mesaje"
menus.monthlyReports,"Monthly Reports","Rapports mensuels","मासिक विवरण","Raporturi lunare"
menus.offers,"Offers","Offres","ऑफर","Oferte"
menus.plans,"Plans","Forfaits","योजनाओं","Planuri"
menus.products,"Products","Produits","उत्पादों","Produse"
menus.referFriend,"Refer a Friend","Recommander un ami","एक दोस्त को संदर्भित करें","Recomanda un prieten"
menus.registrations,"Registrations","Inscriptions","पंजीकरण","Inregistrari"
menus.reports,"Reports","Rapports","रिपोर्टों","Raporturi"
menus.settings,"Settings","Paramètres","समायोजन","Setari"
menus.shop,"Shop","Magasin","दुकान","Magazin"
menus.staff,"Staff","Personnel","कर्मचारी","Angajat"
menus.tasks,"Tasks","Tâches","कार्य","Task-uri"
menus.templates,"Templates","Modèles","टेम्पलेट्स","Sabloane"
menus.weekSchedules,"Week Schedules","Programmes hebdomadaires","सप्ताह अनुसूचियाँ","Orare saptamanale"
menus.yearlyReports,"Yearly Reports","Rapports annuels","वार्षिक रिपोर्ट","Raporturi anuale"
message,"Message","Message","संदेश","Mesaj"
modules.announcements,"Announcements","Annonces","घोषणाओं","Anunturi"
modules.classes,"Classes","Classes","कक्षाओं","Clase"
modules.classSchedules,"Class schedules","Horaires des cours","कक्षा अनुसूचियाँ","Orare de cursuri"
modules.enquiries,"Enquiries","Enquêtes","पूछताछ","Intrebari"
modules.exercisePlanners,"Exercise planners","Planificateurs d'exercices","व्यायाम योजनाकार","Planificatoare de exercitii"
modules.groups,"Groups","Groupes","समूहों","Grupuri"
modules.guestPasses,"Guest passes","Pass invités","अतिथि पास","Invitatii Guest"
modules.gyms,"Gyms","Gymnases","जिम","Sali"
modules.instructors,"Instructors","Instructeurs","अनुदेशकों","Instructori"
modules.locations,"Locations","Emplacements","स्थानों","Locatii"
modules.memberReports,"Member reports","Rapports des membres","सदस्य रिपोर्ट","Rapoarte membri"
modules.members,"Members","Membres","सदस्यों","Membri"
modules.memberships,"Memberships","Adhésions","सदस्यताएँ","Abonament"
modules.offers,"Offers","Offres","ऑफ़र","Oferte"
modules.plans,"Plans","Des plans","योजना","Planuri"
modules.plural.announcements,"announcements","annonces","घोषणाएं","Anunturi"
modules.plural.classes,"classes","Des classes","कक्षाओं","Clase"
modules.plural.classSchedules,"class schedules","horaires de cours","कक्षा कार्यक्रम","Orar clasa"
modules.plural.enquiries,"enquiries","demandes de renseignements","पूछताछ","Intrebari"
modules.plural.exercisePlanners,"exercise planners","planificateurs d'exercices","व्यायाम योजनाकार","Planificatoare de exerciti"
modules.plural.groups,"groups","groupes","समूह","Grupuri"
modules.plural.guestPasses,"guest passes","laissez-passer invités","अतिथि पास","Invitatie Guest"
modules.plural.gyms,"gyms","gymnases","जिम","Sali"
modules.plural.instructors,"instructors","instructeurs","अनुदेशकों","Instructori"
modules.plural.locations,"locations","Emplacements","स्थानों","Locatii"
modules.plural.memberReports,"member reports","rapports des membres","सदस्य रिपोर्ट","Rapoarte membri"
modules.plural.members,"members","membres","सदस्यों","Membri"
modules.plural.memberships,"memberships","adhésions","सदस्यता","Abonament"
modules.plural.offers,"offers","des offres","ऑफर","Oferte"
modules.plural.plans,"plans","des plans","की योजना","Planuri"
modules.plural.products,"products","des produits","उत्पादों","Produse"
modules.plural.referrals,"referrals","références","रेफरल","Recomandari"
modules.plural.registrations,"registrations","inscriptions","पंजीकरण","Inregistrari"
modules.plural.schedules,"schedules","des horaires","अनुसूचियों","programele"
modules.plural.staff,"staff","personnel","कर्मचारी","Staff"
modules.plural.tasks,"tasks","Tâches","कार्य","Task"
modules.plural.templates,"templates","modèles","खाके","Sablon"
modules.products,"Products","Produits","उत्पाद","Produse"
modules.referrals,"Referrals","Références","रेफरल","Recomandari"
modules.registrations,"Registrations","Inscriptions","पंजीकरण","Inregistrari"
modules.schedules,"Schedules","Des horaires","अनुसूचियों","Programe"
modules.singular.announcement,"announcement","annonce","घोषणा","Anunt"
modules.singular.class,"class","classe","कक्षा","Clasa"
modules.singular.classSchedule,"class schedule","horaire de cours","वर्ग अनुसूची","Orar clasa"
modules.singular.enquiry,"enquiry","enquête","जाँच करना","Intrebari"
modules.singular.exercisePlanner,"exercise planner","planificateur d'exercices","व्यायाम योजनाकार","Planificatoare de exerciti"
modules.singular.group,"group","groupe","समूह","Grup"
modules.singular.guestPass,"guest pass","laissez-passer invité","अतिथि पास","Invitatie Guest"
modules.singular.gym,"gym","gym","जिम","Sala"
modules.singular.instructor,"instructor","instructeur","प्रशिक्षक","Instructor"
modules.singular.location,"location","emplacement","जगह","Locatie"
modules.singular.member,"member","membre","सदस्य","Membru"
modules.singular.memberReport,"member report","rapport de membre","सदस्य रिपोर्ट","Raport membru"
modules.singular.membership,"membership","adhésion","सदस्यता","Abonament"
modules.singular.offer,"offer","offre","प्रस्ताव","Oferta"
modules.singular.plan,"plan","plan","योजना","Plan"
modules.singular.product,"product","produit","उत्पाद","Produs"
modules.singular.referral,"referral","référence","रेफ़रल","Recomandare"
modules.singular.registration,"registration","inscription","पंजीकरण","Inregistrare"
modules.singular.schedule,"schedule","emploi de temps","अनुसूची","program"
modules.singular.staff,"staff","personnel","कर्मचारी","Staff"
modules.singular.task,"task","tâche","काम","Task"
modules.singular.template,"template","modèle","खाका","Sablon"
modules.staff,"Staff","Personnel","स्टाफ","Staff"
modules.tasks,"Tasks","Tâches","कार्य","Task-uri"
modules.templates,"Templates","Modèles","खाके","Sabloane"
monthlyFee,"Monthly fee","Frais mensuels","मासिक शुल्क","Plata lunara"
months.April,"April","Avril","अप्रैल","Aprilie"
months.August,"August","Août","अगस्त","August"
months.December,"December","Décembre","दिसम्बर","Decembrie"
months.February,"February","Février","फरवरी","Februarie"
months.January,"January","Janvier","जनवरी","Ianuarie"
months.July,"July","Juillet","जुलाई","Iulie"
months.June,"June","Juin","जून","Iunie"
months.March,"March","Mars","मार्च","Martie"
months.May,"May","Mai","मई","Mai"
months.November,"November","Novembre","नवम्बर","Noiembrie"
months.October,"October","Octobre","अक्टूबर","Octombrie"
months.September,"September","Septembre","सितंबर","Septembrie"
myAccount.parqDesc,"Pre-Activity Readiness Questionnaire","Questionnaire de préparation à l'activité physique","पूर्व-क्रिया सिद्धता प्रश्नोत्तर प्रपत्र","Chestionar de pregatire pentru activitate fizica"
myAccount.title,"My Account","Mon compte","मेरा अकाउंट","Contul meu"
name,"Name","Nom","नाम","Nume"
newDocument,"New Document","Nouveau document","नया दस्तावेज़","Document nou"
noFundsWillBeTakenAtThisStage,"No funds will be taken at this stage","Aucun fonds ne sera prélevé à cette étape.","इस स्तर पर कोई फंड नहीं लिया जाएगा","Nu se vor retrage fonduri in aceasta etapa"
note,"Note","Remarque","टिप्पणी","Nota"
notes,"Notes","Remarques","टिप्पणियाँ","Notite"
noUrlsAdded,"No urls added","Aucune URL ajoutée","कोई URL जोड़ा नहीं गया","Nici un url adaugat"
offers.noData,"No offers available","Aucune offre disponible","कोई प्रस्ताव उपलब्ध नहीं हैं","Nici o oferta valabila"
ok,"Ok","OK","ठीक है","Ok"
openAt,"Open at","Ouvrir à","इस पर खुलता है","Deschis la "
orDropFilesHereToUpload,"or drop files here to upload","ou déposez les fichiers ici pour les télécharger","या यहाँ फ़ाइलें अपलोड करने के लिए छोड़ें","sau trageti fisierele aici pentru incarcare"
parQ,"PAR-Q","PAR-Q","PAR-Q","PAR-Q"
parq,"Pre-Activity Readiness Questionnaire (PAR-Q)","Questionnaire de préparation à l'activité physique (PAR-Q)","पूर्व-क्रिया सिद्धता प्रश्नपत्र (PAR-Q)","Chestionar de pregătire(PAR-Q)"
parqIConfirmedBy,"I <strong>{name}</strong>confirm by submitting the PARQ that all information is correct.","Je <strong>{name}</strong>confirme en soumettant le PARQ que toutes les informations sont correctes.","मैं <strong>{name}</strong>PARQ जमा करके पुष्टि करता हूं कि सभी जानकारी सही है।","Eu, <strong>{name}</strong>, confirm prin trimiterea PARQ-ului ca toate informatiile sunt corecte"
parqInfo,"We assume no liability for persons who undertake physical activity. Should you be in any doubt after completing this questionnaire you agree to consult your doctor prior to undertaking physical activity.","Nous n'assumons aucune responsabilité pour les personnes qui entreprennent une activité physique. Si vous avez le moindre doute après avoir rempli ce questionnaire, vous acceptez de consulter votre médecin avant de vous engager dans une activité physique.","हम उन लोगों के लिए किसी जिम्मेदारी की गंभीरता नहीं लेते हैं जो शारीरिक गतिविधि करते हैं। इस प्रश्नपत्र को पूरा करने के बाद आपको किसी भी संदेह की स्थिति में यह मान लेना चाहिए कि आपको शारीरिक गतिविधि करने से पहले अपने डॉक्टर से परामर्श करने की सहमति है।","Nu ne asumam nici o raspundere pentru persoanele care intreprind activitati fizice. Daca aveti orice indoiala dupa completarea acestui chestionar, sunteti de acord să consultati medicul inainte de a incepe activitatile fizice."
parqStatus,"Pre-Activity Readiness Questionnaire (PAR-Q) - {status}","Questionnaire de préparation à l'activité physique (PAR-Q) - {status}","पूर्व-क्रिया सिद्धता प्रश्नोत्तर प्रपत्र (PAR-Q) - {status}","Chestionar de pregatire pentru activitate fizica (PAR-Q) - {status}"
password,"Password","Mot de passe","पासवर्ड","Parola"
pasteImageUrl,"Paste image URL","Coller l'URL de l'image","चित्र URL पेस्ट करें","Inserați URL-ul imaginii"
payAmount,"Pay {amount}","Payer {amount}","{amount} भुगतान करें","Plateste {amount}"
payCash,"Pay in cash at our store","Payer en espèces dans notre magasin","हमारे दुकान पर नकद में भुगतान करें","Platiti in numerar la receptie"
payment,"Payment","Paiement","भुगतान","Plata"
paymentMethod,"Payment method","Méthode de paiement","भुगतान मेथड","Metoda de plata"
paymentMethods,"Payment methods","Méthodes de paiement","भुगतान के तरीके","Metode de plata"
paymentSummary,"Payment Summary","Résumé du paiement","भुगतान सारांश","Rezumat plati"
pdfDialogTitle,"PDF preview","Aperçu PDF","पीडीएफ पूर्वावलोकन","Previzualizare PDF"
pdfPreview,"PDF preview","Aperçu PDF","PDF पूर्वादर्शन","PDF previzualizare"
permissions,"Permissions","Autorisations","अनुमतियाँ","Autorizatie"
personalTrainer,"Personal trainer","Entraîneur personnel","व्यक्तिगत प्रशिक्षक","Antrenor Personal"
phoneNumber,"Phone Number","Numéro de téléphone","फ़ोन नंबर","Numar de telefon"
placeholder.bannerBtn,"OUR SERVICES","NOS SERVICES","हमारी सेवाएँ","SERVICILE NOASTRE"
placeholder.bannerTag,"Get Body In Shape And","Mettez votre corps en forme et","शरीर को आकर्षित बनाएं और","Pune-ti corpul in forma si"
placeholder.bannerTag1,"Stay Healthy","Restez en bonne santé","स्वस्थ रहें","Ramai sanatos"
placeholder.bannerTitle,"We raise your confidence","Nous renforçons votre confiance","हम आपके आत्मविश्वास को बढ़ाते हैं","Crestem încrederea ta."
placeholder.contactNumber,"Contact Number","Numéro de contact","संपर्क नंबर","Numar de contact"
placeholder.emailAddress,"Email Address","Adresse e-mail","ईमेल पता","Adreasa de email"
placeholder.label,"Label","Étiquette","लेबल","Eticheta"
placeholder.leaveNote,"Leave a note ...","Laisser une note...","एक नोट छोड़ें ...","Lasa o notita ..."
placeholder.leaveReply,"Leave a reply ...","Laisser une réponse...","एक उत्तर दें ...","Lasa un mesaj ..."
placeholder.name,"Name","Nom","नाम","Nume"
placeholder.noteInstructor,"Note for Instructor","Note pour l'instructeur","संदर्भकर्ता के लिए नोट","Nota pentru instructor"
placeholder.parqHealth,"Allergies/Other Special Health Considerations","Allergies/Autres considérations de santé spéciales","एलर्जी/अन्य विशेष स्वास्थ्य विचार","Alergii/Alte consideratii speciale de sanatate"
placeholder.password,"Password","Mot de passe","पासवर्ड","Parola"
placeholder.passwordConfirm,"Password Confirm","Confirmez le mot de passe","पासवर्ड की पुष्टि करें","Confirmare parola"
placeholder.planName,"i.e No Contact Membership","c.-à-d. Aucune adhésion de contact","उदा: कोई संपर्क सदस्यता नहीं","Adica, membru fara contact"
placeholder.quickSearch,"Quick search","Recherche rapide","त्वरित खोज","Cautare rapida"
placeholder.quickSearchClasses,"Quick search classes","Recherche rapide des cours","त्वरित कक्षाएँ खोजें","Cauta rapid clase"
placeholder.rag,"Rag","Chiffon","टैग","Carpa"
placeholder.search,"Search","Rechercher","खोजें","Cauta"
placeholder.searchClasses,"Search classes","Rechercher des cours","कक्षाएँ खोजें","Cauta clase"
placeholder.select,"Select","Sélectionner","चयन करें","Selectat"
placeholder.selectMember,"Select member","Sélectionner un membre","सदस्य का चयन करें","Selecteaza membru"
placeholder.selectSize,"Select a size","Sélectionnez une taille","एक आकार का चयन करें","Alege o marime"
placeholder.selectStaff,"Select staff","Sélectionnez le personnel","कर्मचारी का चयन करें","Alege Staff"
placeholder.type,"Type","Tapez","प्रकार","Tip"
placeholder.url,"URL","URL","URL","URL"
plan.change,"You are about to change plan from the <span class=""text-subtitle2"">{currentPlan}</span> to the <span class=""text-subtitle2"">{plan}</span> which will charge <span class=""text-subtitle2"">{amount}</span> {interval}","Vous êtes sur le point de changer de plan du <span class=""text-subtitle2"">{currentPlan}</span> au <span class=""text-subtitle2"">{plan}</span> qui vous facturera <span class=""text-subtitle2"">{amount}</span> {interval}.","आप <span class=""text-subtitle2"">{currentPlan}</span> से <span class=""text-subtitle2"">{plan}</span> में प्लान बदलने के लिए हैं जिसका मूल्य <span class=""text-subtitle2"">{amount}</span> {interval} होगा।","Sunteti pe cale să schimbați planul de la <span class=""text-subtitle2"">{currentPlan}</span> to the <span class=""text-subtitle2"">"
plan.create,"You are going to subscribe our <span class=""text-subtitle2"">{plan}</span> which will charge <span class=""text-subtitle2"">{amount}</span> {interval}","Vous vous apprêtez à souscrire à notre <span class=""text-subtitle2"">{plan}</span> qui vous facturera <span class=""text-subtitle2"">{amount}</span> {interval}.","आप हमारी <span class=""text-subtitle2"">{plan}</span> की सदस्यता लेने जा रहे हैं जिसका मूल्य <span class=""text-subtitle2"">{amount}</span> {interval} होगा।","Abonare la serviciul nostru <span class=""text-subtitle2"">{plan}</span> which will charge <span class=""text-subtitle2"">"
plan.features.classes,"Classes","Cours","कक्षाएँ","Clase"
plan.features.guestPass,"Guest pass","Pass invité","अतिथि पास","Invitatie Guest"
plans.featureDesc,"Gym plans may restrict the number of class bookings or guest passes to ensure fair access, requiring members to upgrade or pay additional fees if they exceed the limit.","Les plans de salle de sport peuvent limiter le nombre de réservations de cours ou de laissez-passer invités pour garantir un accès équitable, obligeant les membres à mettre à niveau ou à payer des frais supplémentaires s'ils dépassent la limite.","जिम प्लान से संबंधित कक्षा बुकिंग्स या अतिथि पास की संख्या पर प्रतिबंध लगा सकता है ताकि योग्य उपयोग सुनिश्चित हो, जिसमें सदस्यों को सीमा पार करने के लिए अपग्रेड करने या अतिरिक्त शुल्क भुगतान करने की आवश्यकता हो सकती है, यदि वे सीमा को पार करते हैं।","Planurile de sala pot restrictiona numarul de rezervari pentru cursuri sau permise pentru oaspeti pentru a asigura un acces echitabil, cerand membrilor sa faca upgrade sau sa plateasca taxe suplimentare daca depasesc limita"
plans.generalDesc,"The gym plan's general information section manages membership fees and descriptions for effective communication with potential and existing members.","La section d'informations générales du plan de salle de sport gère les frais d'adhésion et les descriptions pour une communication efficace avec les membres potentiels et existants.","जिम प्लान के सामान्य जानकारी खंड संभाल सकता है सदस्यता शुल्क और विवरण को, संभावित और मौजूदा सदस्यों के साथ प्रभावी संवाद के लिए।","Secțiunea de informații generale a planului de sala gestioneaza tarifele de membru si descrierile pentru o comunicare eficienta cu potentialii membri si membrii existenti"
plans.noData,"No plans available","Aucun plan disponible","कोई प्लान उपलब्ध नहीं है","Nici un plan disponibil."
postcodeZip,"Postcode/Zip","Code postal","पिनकोड/ज़िप","Cod postal"
prefix.camera,"Camera:","Caméra:","कैमरा:","Camera"
prefix.class,"Class:","Classe:","कक्षा:","Clasa"
prefix.date,"Date:","Date:","तिथि:","Data"
prefix.email,"Email:","Email:","ईमेल:","Email"
prefix.every,"Every","Chaque","हर","Fiecare"
prefix.expires,"Expires:","Expire:","समाप्त होता है:","Expira"
prefix.gym,"Gym:","gym:","जिम:","Gym"
prefix.instructor,"Instructor:","Instructeur:","शिक्षक:","Instructor"
prefix.phone,"Phone:","Téléphone:","फ़ोन:","Telefon"
prefix.plan,"Plan:","Plan:","योजना:","Plan"
prefix.rag,"Rag:","Chiffon:","रैग:","Carpa"
prefix.size,"Size:","Taille:","आकार:","Marime"
prefix.sort,"Sort:","Trier:","क्रमबद्ध करें:","Sorteaza"
prefix.status,"Status:","Statut:","स्थिति:","Status"
prefix.total,"Total:","Total:","टोटल:","Total"
prefix.type,"Type:","Type:","प्रकार:","Tip"
prefix.user,"User:","Utilisateur:","उपयोगकर्ता:","User"
prefix.year,"Year:","Année:","वर्ष:","An"
price,"Price","Prix","मूल्य","Pret"
prices,"{count} prices","{count} prix","{count} मूल्य (ग़िनती)","Preturi"
